N,P,K,temperature,humidity,pH,rainfall,label
69,45,45,29.09305154,76.58801,6.382827,29.09305,rice
73,41,54,25.26206812,69.33334,5.672911,25.26207,rice
74,33,58,31.13768633,63.60778,5.63293,31.13769,rice
63,31,46,33.7053982,68.2733,6.375724,33.7054,rice
94,41,41,29.07933141,73.04415,5.619994,29.07933,rice
78,43,60,31.80098626,68.2796,5.897726,31.80099,rice
69,38,30,33.42958018,73.06429,6.26925,33.42958,rice
75,31,53,26.19282883,63.78795,5.515729,26.19283,rice
79,31,33,31.10144868,76.87235,6.152373,31.10145,rice
81,37,60,27.02304848,66.13331,6.204682,27.02305,rice
74,37,46,32.40367763,77.74247,5.932678,32.40368,rice
97,33,56,31.20808583,66.2131,5.712604,31.20809,rice
96,44,49,31.23250061,72.25474,5.848518,31.2325,rice
65,33,51,27.16035172,63.70565,6.236354,27.16035,rice
77,33,38,31.57279672,69.97467,6.33424,31.5728,rice
65,39,57,33.01917356,68.12429,5.772262,33.01917,rice
67,41,38,32.56876521,76.30692,5.988575,32.56877,rice
80,46,52,26.85025437,67.00418,5.510576,26.85025,rice
72,43,55,25.50942434,73.17269,5.61068,25.50942,rice
73,34,32,28.50181348,64.19444,6.059547,28.50181,rice
72,41,30,34.86755326,70.7985,6.300243,34.86755,rice
65,33,57,34.69929069,66.35037,6.406786,34.69929,rice
64,38,53,29.41907129,74.98435,6.019146,29.41907,rice
93,34,39,31.39814488,72.24881,6.18349,31.39814,rice
97,43,36,29.75904679,64.54111,6.380245,29.75905,rice
66,40,56,34.31999899,76.2723,6.029699,34.32,rice
89,41,52,33.98467017,65.02426,6.275842,33.98467,rice
74,38,57,31.43805589,77.80281,5.972445,31.43806,rice
67,32,50,29.3501681,69.19196,6.251256,29.35017,rice
97,34,40,26.72069394,77.31336,6.116476,26.72069,rice
67,43,42,28.87315343,77.7237,6.441384,28.87315,rice
79,34,32,29.723029,69.9992,6.408957,29.72303,rice
74,33,41,30.96966754,74.2492,5.974421,30.96967,rice
64,38,41,29.92243019,66.40645,5.77469,29.92243,rice
76,43,31,25.10053974,75.01398,6.198447,25.10054,rice
96,35,49,25.29677752,74.59754,6.102354,25.29678,rice
93,35,36,28.39472746,63.17957,6.27661,28.39473,rice
65,43,53,31.89089673,73.4982,6.432358,31.8909,rice
76,42,43,33.28975399,67.74618,5.504482,33.28975,rice
79,32,45,32.88161536,65.07194,5.541797,32.88162,rice
93,33,31,30.21187178,75.69683,6.257831,30.21187,rice
70,35,55,34.16561602,74.603,6.073814,34.16562,rice
78,34,57,34.54719427,75.71152,6.354607,34.54719,rice
85,36,48,27.66968608,66.35155,6.47232,27.66969,rice
88,42,50,27.64574232,69.53903,6.154806,27.64574,rice
92,32,53,34.96540305,67.76956,6.450375,34.9654,rice
90,45,35,34.08716718,65.9416,6.487398,34.08717,rice
94,36,37,34.04298648,72.69514,6.464546,34.04299,rice
96,36,34,29.4513799,73.07523,5.561712,29.45138,rice
67,41,46,31.65207103,77.04791,6.170485,31.65207,rice
62,41,45,31.10813718,76.07306,6.079213,31.10814,rice
74,35,35,27.91640489,75.1298,6.424231,27.9164,rice
77,35,45,32.95664621,72.64483,5.855628,32.95665,rice
87,38,32,31.29181249,73.0227,6.247693,31.29181,rice
83,41,59,27.84924235,70.40417,6.449391,27.84924,rice
96,46,32,30.14413304,72.03758,5.911832,30.14413,rice
61,32,37,28.91995105,67.05746,6.397528,28.91995,rice
79,41,38,28.91270655,66.80134,5.701924,28.91271,rice
97,43,50,30.29607428,77.51436,5.501319,30.29607,rice
74,38,36,25.77246301,63.1106,6.47057,25.77246,rice
63,34,43,28.89443248,72.51649,5.97802,28.89443,rice
67,41,30,30.87746948,70.84465,6.427739,30.87747,rice
71,40,40,28.3998361,71.14749,6.200557,28.39984,rice
67,31,57,33.10944422,71.17438,6.32466,33.10944,rice
87,39,55,25.1519684,72.57967,6.300962,25.15197,rice
66,33,51,31.6230281,66.22489,6.176643,31.62303,rice
87,33,30,33.56732225,74.31842,5.681932,33.56732,rice
62,44,55,26.06878029,76.38229,6.439806,26.06878,rice
71,37,33,32.34251326,69.47972,6.46801,32.34251,rice
97,33,40,32.03690109,70.83306,5.915495,32.0369,rice
85,31,42,27.59568688,66.50538,5.711269,27.59569,rice
75,39,43,27.51085906,68.01236,5.913773,27.51086,rice
85,33,42,28.4145305,69.74454,5.973672,28.41453,rice
65,45,40,34.95100429,74.12078,6.028849,34.951,rice
63,38,39,26.50150672,66.09702,6.394849,26.50151,rice
81,35,55,32.65334271,74.88613,5.787987,32.65334,rice
89,35,45,34.19376466,70.16477,5.504705,34.19376,rice
77,37,51,27.61503651,64.30165,5.739535,27.61504,rice
97,31,37,30.96642156,73.25885,6.02042,30.96642,rice
93,33,30,34.91331463,64.25322,6.018502,34.91331,rice
76,36,57,31.3387844,67.23876,6.479561,31.33878,rice
62,39,47,34.66596451,66.74917,5.837588,34.66596,rice
92,42,30,32.27111343,63.25881,6.415201,32.27111,rice
60,36,39,25.91050819,77.09181,5.657365,25.91051,rice
67,36,55,27.08030637,71.29839,6.250882,27.08031,rice
81,32,36,26.72099641,77.4112,6.145902,26.721,rice
78,33,35,34.21595959,77.801,6.124298,34.21596,rice
94,44,57,25.2396024,69.25525,5.545922,25.2396,rice
79,40,51,27.2448618,73.24801,6.08567,27.24486,rice
74,45,34,34.69917257,69.9274,6.325394,34.69917,rice
78,41,37,29.85639613,72.93387,6.119816,29.8564,rice
93,34,47,34.58008859,76.99187,5.988406,34.58009,rice
60,43,39,27.09804085,75.52509,5.816168,27.09804,rice
63,39,30,27.20185954,73.70289,6.043482,27.20186,rice
65,39,31,30.00708391,77.20894,6.440843,30.00708,rice
83,34,37,28.32144896,70.65358,6.434544,28.32145,rice
72,34,35,34.69168784,71.27591,5.78758,34.69169,rice
65,40,30,28.24734867,73.55526,6.316489,28.24735,rice
89,33,53,34.3168959,71.7389,6.362188,34.3169,rice
96,35,42,27.80945449,71.7412,6.177991,27.80945,rice
75,46,46,31.6165388,76.03329,6.119461,31.61654,rice
66,42,39,31.61931183,72.92014,6.285385,31.61931,rice
61,37,32,30.80137598,70.35252,5.758581,30.80138,rice
82,44,36,33.6436676,68.39241,5.822427,33.64367,rice
72,40,31,30.61298015,67.95717,6.320904,30.61298,rice
64,44,33,34.56380007,73.10314,6.114586,34.5638,rice
94,36,40,31.04473879,74.13956,6.419889,31.04474,rice
95,34,45,29.67928767,63.75438,6.145757,29.67929,rice
60,33,38,29.45845188,71.64097,5.557612,29.45845,rice
80,34,42,29.92363921,63.3739,5.865347,29.92364,rice
80,37,30,28.34843588,77.97489,6.300351,28.34844,rice
71,32,33,27.17659658,76.80754,6.38821,27.1766,rice
72,38,60,30.08338098,67.9193,6.29672,30.08338,rice
80,34,49,27.46143799,72.92448,6.099665,27.46144,rice
68,41,41,29.53299245,74.01863,6.157232,29.53299,rice
70,45,53,32.79802576,75.3442,6.15287,32.79803,rice
87,46,33,34.22202723,66.13293,6.06141,34.22203,rice
72,41,48,25.55775549,77.50345,6.423389,25.55776,rice
68,39,49,25.70128953,69.65166,6.147993,25.70129,rice
66,45,54,29.83014873,65.43277,5.890506,29.83015,rice
94,31,57,32.04673053,74.27692,6.48509,32.04673,rice
88,35,55,26.18660394,66.37716,5.683379,26.1866,rice
83,42,30,28.75972451,75.46527,6.462228,28.75972,rice
96,46,49,25.93162547,66.52707,5.802528,25.93163,rice
90,43,34,27.20535662,69.14675,6.219254,27.20536,rice
61,36,30,32.38413396,67.66965,5.540439,32.38413,rice
66,39,34,33.92489142,63.94627,5.940184,33.92489,rice
84,32,50,31.40347629,76.06657,6.420576,31.40348,rice
65,31,37,27.04570683,69.15517,5.567726,27.04571,rice
73,39,57,32.28598396,77.15266,5.884052,32.28598,rice
74,33,40,31.46278951,77.73309,5.619138,31.46279,rice
67,38,48,32.82851458,69.65249,5.634392,32.82851,rice
87,31,47,30.89969444,65.89615,5.813607,30.89969,rice
85,39,46,32.57505927,68.78021,6.35704,32.57506,rice
92,34,39,29.9031183,64.41223,6.108632,29.90312,rice
91,46,45,25.10915655,70.78033,5.586738,25.10916,rice
63,36,59,30.4234548,73.44102,5.508009,30.42345,rice
68,38,46,34.20830816,77.64899,6.47777,34.20831,rice
60,44,48,27.12852216,73.62637,6.428645,27.12852,rice
60,35,53,33.71698284,73.65095,6.172512,33.71698,rice
67,38,60,27.27316638,77.47358,6.38258,27.27317,rice
87,31,44,31.3236499,70.92865,5.518873,31.32365,rice
94,40,40,33.49874413,71.9664,6.062536,33.49874,rice
87,37,49,29.39876446,68.57141,6.396175,29.39876,rice
74,38,47,33.80954667,71.66747,6.047809,33.80955,rice
97,33,34,27.02297468,75.12757,5.972371,27.02297,rice
97,45,50,33.23623976,73.83074,6.221966,33.23624,rice
77,41,47,29.34577606,76.01507,6.462563,29.34578,rice
79,38,59,28.86595595,74.48107,6.199404,28.86596,rice
80,41,37,33.71522143,72.98918,5.854419,33.71522,rice
88,45,38,32.58097667,77.55109,5.576891,32.58098,rice
77,42,46,33.54813306,71.9727,5.80061,33.54813,rice
61,44,42,31.03382031,72.58466,6.256406,31.03382,rice
88,45,41,34.85343879,75.32193,5.576205,34.85344,rice
93,33,50,30.52998762,70.14959,5.93747,30.52999,rice
67,39,31,33.47494438,68.3001,5.984501,33.47494,rice
67,42,37,32.32028408,74.98405,6.230345,32.32028,rice
83,32,60,34.2297312,69.69872,5.879806,34.22973,rice
91,42,46,29.33526597,69.9648,5.766635,29.33527,rice
88,43,45,29.88546544,69.64096,5.567977,29.88547,rice
81,44,48,27.56490527,71.43987,5.702693,27.56491,rice
84,41,54,25.66752684,65.14148,6.122496,25.66753,rice
92,43,42,34.271948,72.68284,5.587821,34.27195,rice
83,39,48,28.68544293,64.96852,6.188543,28.68544,rice
69,36,43,29.08117192,67.70451,6.006463,29.08117,rice
86,39,32,26.3105244,64.31357,6.282714,26.31052,rice
66,45,46,25.05395167,76.23077,5.542152,25.05395,rice
62,39,60,34.71336083,75.98731,5.845121,34.71336,rice
86,33,47,28.97219452,67.63392,6.242585,28.97219,rice
63,42,49,31.03843669,75.05748,6.236131,31.03844,rice
69,33,50,25.13339007,76.78179,6.362661,25.13339,rice
85,40,44,28.35490156,71.81423,5.962746,28.3549,rice
70,40,45,25.86260039,73.64679,5.902331,25.8626,rice
78,36,37,33.94453121,77.17504,5.827063,33.94453,rice
75,36,50,25.80835391,71.94573,6.065268,25.80835,rice
70,37,55,28.3761392,69.7276,6.396595,28.37614,rice
91,45,53,26.88628762,64.26755,6.405298,26.88629,rice
67,34,32,32.31629544,74.66695,6.156532,32.3163,rice
64,36,31,28.10235046,66.64225,6.104161,28.10235,rice
72,46,56,25.75303001,73.23708,5.960033,25.75303,rice
95,31,41,31.43595845,75.91092,6.481248,31.43596,rice
89,34,44,33.17247068,70.79934,6.187897,33.17247,rice
83,34,39,25.95287027,71.63698,6.412411,25.95287,rice
72,44,52,34.70278312,68.65151,5.908156,34.70278,rice
97,33,37,28.92034113,71.10957,6.497524,28.92034,rice
90,38,56,25.32848752,77.97358,5.862524,25.32849,rice
